Id,KC,log_GSS,S
330,27.9248,-4.29409,0.842658
331,47.4722,-3.391,0.811278
332,44.6797,-3.21491,0.842658
333,41.8872,-4.29409,0.776556
334,39.0947,-4.29409,0.842658
335,47.4722,-4.29409,0.738285
336,39.0947,-3.59512,0.776556
337,41.8872,-3.69203,0.811278
338,33.5098,-2.48791,0.650022
339,30.7173,-3.08997,0.696212
340,36.3023,-3.08997,0.650022
341,44.6797,-3.391,0.738285
342,47.4722,-3.391,0.870864
343,44.6797,-4.29409,0.811278
344,33.5098,-3.14796,0.776556
345,33.5098,-3.391,0.543564
346,36.3023,-4.29409,0.599314
347,27.9248,-2.76261,0.413817
348,41.8872,-3.69203,0.896038
349,50.2647,-4.29409,0.842658
350,30.7173,-2.11225,0.650022
351,36.3023,-2.75002,0.599314
352,33.5098,-2.73779,0.543564
353,36.3023,-3.69203,0.543564
354,41.8872,-2.78894,0.776556
355,41.8872,-3.59512,0.696212
356,27.9248,-3.59512,0.870864
357,44.6797,-3.69203,0.738285
358,44.6797,-3.69203,0.696212
359,44.6797,-4.29409,0.696212
360,41.8872,-4.29409,0.811278
361,33.5098,-2.97187,0.650022
362,50.2647,-3.99306,0.842658
363,25.1323,-4.29409,0.979869
364,30.7173,-3.99306,1
365,47.4722,-3.69203,0.811278
366,36.3023,-3.69203,0.696212
367,47.4722,-3.69203,0.776556
368,44.6797,-4.29409,0.738285
369,27.9248,-4.29409,0.543564
370,41.8872,-3.99306,0.870864
371,50.2647,-4.29409,0.896038
372,19.5474,-3.69203,0.811278
373,27.9248,-3.69203,0.33729
374,44.6797,-4.29409,0.896038
375,30.7173,-4.29409,0.811278
376,19.5474,-3.03882,0.146094
377,41.8872,-3.59512,0.776556
378,36.3023,-3.29409,0.776556
379,33.5098,-3.01534,0.482066
380,33.5098,-4.29409,0.696212
381,41.8872,-4.29409,0.696212
382,44.6797,-3.08997,0.738285
383,44.6797,-3.69203,0.776556
384,33.5098,-2.61285,0.650022
385,39.0947,-4.29409,0.842658
386,47.4722,-3.69203,0.842658
387,36.3023,-3.29409,0.650022
388,36.3023,-2.80273,0.738285
389,27.9248,-4.29409,0.870864
390,47.4722,-3.69203,0.896038
391,44.6797,-4.29409,0.776556
392,47.4722,-4.29409,0.870864
393,39.0947,-4.29409,0.994985
394,39.0947,-3.33985,0.738285
395,47.4722,-2.78894,0.842658
396,44.6797,-3.99306,0.842658
397,47.4722,-3.08997,0.811278
398,50.2647,-4.29409,0.842658
399,36.3023,-2.61285,0.738285
400,44.6797,-3.51594,0.918296
401,44.6797,-3.14796,0.776556
402,41.8872,-4.29409,0.738285
403,47.4722,-3.99306,1
404,33.5098,-3.69203,0.599314
405,41.8872,-3.59512,0.650022
406,30.7173,-2.31182,0.776556
407,41.8872,-3.69203,0.738285
408,36.3023,-3.21491,0.842658
409,22.3398,-3.81697,0.870864
410,36.3023,-3.59512,0.896038
