Id,KC,log_GSS,TopHalf
319,44.6797,-4.29409,1
320,47.4722,-3.08997,0
321,44.6797,-3.69203,1
322,41.8872,-3.69203,1
323,41.8872,-4.29409,1
324,39.0947,-3.59512,1
325,39.0947,-2.78894,0
326,27.9248,-2.28977,1
327,44.6797,-4.29409,1
328,33.5098,-3.69203,1
329,36.3023,-4.29409,1
330,39.0947,-4.29409,1
331,39.0947,-3.33985,1
332,39.0947,-3.69203,1
333,39.0947,-3.08997,0
334,41.8872,-3.69203,1
335,44.6797,-3.69203,1
336,30.7173,-3.03882,1
337,47.4722,-3.99306,1
338,39.0947,-4.29409,1
339,44.6797,-4.29409,1
340,25.1323,-2.41328,1
341,44.6797,-3.69203,1
342,41.8872,-3.69203,1
343,44.6797,-3.29409,0
344,39.0947,-3.391,1
345,41.8872,-3.21491,0
346,44.6797,-3.59512,1
347,44.6797,-3.08997,0
348,44.6797,-3.99306,1
349,33.5098,-3.59512,1
350,30.7173,-3.69203,1
351,33.5098,-3.391,1
352,36.3023,-3.21491,1
353,41.8872,-3.59512,1
354,41.8872,-2.78894,0
355,39.0947,-3.69203,1
356,39.0947,-3.59512,1
357,50.2647,-3.69203,1
358,41.8872,-4.29409,1
359,39.0947,-4.29409,1
360,39.0947,-2.99306,0
361,41.8872,-3.59512,1
362,36.3023,-3.08997,1
363,36.3023,-3.59512,1
364,44.6797,-3.51594,1
365,39.0947,-3.99306,1
366,41.8872,-3.69203,1
367,41.8872,-3.69203,1
368,41.8872,-4.29409,1
369,44.6797,-4.29409,1
370,36.3023,-3.69203,1
371,41.8872,-4.29409,1
372,41.8872,-3.99306,1
373,33.5098,-3.69203,1
374,30.7173,-3.69203,1
375,33.5098,-4.29409,1
376,36.3023,-3.21491,1
377,30.7173,-3.08997,1
378,36.3023,-3.69203,1
379,33.5098,-3.99306,1
380,36.3023,-3.81697,1
381,30.7173,-4.29409,1
382,30.7173,-2.48791,1
383,33.5098,-4.29409,1
384,47.4722,-4.29409,1
385,44.6797,-3.69203,1
386,53.0571,-3.391,1
387,41.8872,-4.29409,1
388,41.8872,-3.21491,0
389,53.0571,-3.99306,1
390,47.4722,-4.29409,1
391,41.8872,-3.99306,1
392,30.7173,-3.21491,1
393,50.2647,-3.99306,1
394,33.5098,-3.99306,1
395,39.0947,-3.51594,1
396,19.5474,-2.76261,1
397,22.3398,-3.69203,1
398,39.0947,-3.99306,1
399,30.7173,-4.29409,1
400,47.4722,-3.99306,1
401,36.3023,-2.99306,0
402,36.3023,-2.78894,0
403,41.8872,-4.29409,1
404,44.6797,-3.69203,1
405,39.0947,-4.29409,1
406,33.5098,-3.21491,1
407,27.9248,-3.391,1
408,33.5098,-3.59512,1
409,44.6797,-3.33985,0
410,41.8872,-4.29409,1
411,39.0947,-3.69203,1
412,39.0947,-3.69203,1
413,27.9248,-4.29409,1
414,50.2647,-4.29409,1
415,41.8872,-3.99306,1
416,44.6797,-4.29409,1
417,39.0947,-2.99306,0
418,39.0947,-4.29409,1
419,36.3023,-3.44899,1
420,41.8872,-3.08997,0
421,44.6797,-3.69203,1
422,44.6797,-3.69203,1
423,44.6797,-4.29409,1
424,39.0947,-3.391,1
425,33.5098,-3.21491,1
426,41.8872,-3.99306,1
427,36.3023,-4.29409,1
428,36.3023,-3.99306,1
429,41.8872,-3.81697,1
430,47.4722,-3.69203,1
431,47.4722,-4.29409,1
432,39.0947,-3.21491,1
433,44.6797,-3.69203,1
434,44.6797,-3.391,0
435,33.5098,-3.69203,1
436,27.9248,-4.29409,1
437,47.4722,-3.391,1
438,44.6797,-3.21491,0
439,41.8872,-4.29409,1
440,50.2647,-3.69203,1
441,41.8872,-3.08997,0
442,44.6797,-3.99306,1
443,44.6797,-3.99306,1
444,41.8872,-3.69203,1
445,39.0947,-4.29409,1
446,47.4722,-4.29409,1
447,39.0947,-3.59512,1
448,41.8872,-3.69203,1
449,33.5098,-2.48791,0
450,30.7173,-3.08997,1
451,33.5098,-3.69203,1
452,36.3023,-3.08997,1
453,44.6797,-4.29409,1
454,44.6797,-3.391,0
455,47.4722,-3.391,1
456,44.6797,-3.08997,0
457,36.3023,-3.51594,1
458,44.6797,-4.29409,1
459,33.5098,-3.14796,1
460,33.5098,-3.391,1
461,47.4722,-4.29409,1
462,36.3023,-4.29409,1
463,39.0947,-3.69203,1
464,27.9248,-2.76261,1
465,41.8872,-3.69203,1
466,27.9248,-3.69203,1
467,33.5098,-2.78894,0
468,50.2647,-4.29409,1
469,30.7173,-2.11225,0
470,36.3023,-2.75002,0
471,33.5098,-2.73779,0
472,36.3023,-3.69203,1
473,41.8872,-2.78894,0
474,41.8872,-3.59512,1
475,27.9248,-3.59512,1
476,44.6797,-3.69203,1
477,47.4722,-3.69203,1
478,44.6797,-3.69203,1
479,44.6797,-4.29409,1
480,41.8872,-4.29409,1
481,41.8872,-4.29409,1
482,33.5098,-2.97187,1
483,33.5098,-3.69203,1
484,50.2647,-3.99306,1
485,25.1323,-4.29409,1
486,39.0947,-4.29409,1
487,30.7173,-3.99306,1
488,47.4722,-3.69203,1
489,36.3023,-3.69203,1
490,47.4722,-3.69203,1
491,44.6797,-4.29409,1
492,39.0947,-3.69203,1
493,27.9248,-4.29409,1
494,41.8872,-3.99306,1
495,50.2647,-4.29409,1
496,19.5474,-3.69203,1
497,36.3023,-3.99306,1
498,27.9248,-3.69203,1
499,44.6797,-4.29409,1
500,30.7173,-4.29409,1
501,19.5474,-3.03882,1
502,33.5098,-3.69203,1
503,41.8872,-3.59512,1
504,41.8872,-3.59512,1
505,39.0947,-4.29409,1
506,39.0947,-3.391,1
507,36.3023,-3.29409,1
508,33.5098,-3.01534,1
509,33.5098,-4.29409,1
510,44.6797,-3.69203,1
511,47.4722,-3.08997,0
512,44.6797,-4.29409,1
513,47.4722,-3.69203,1
514,41.8872,-4.29409,1
515,44.6797,-3.08997,0
516,44.6797,-3.69203,1
517,41.8872,-4.29409,1
518,44.6797,-4.29409,1
519,33.5098,-2.61285,0
520,39.0947,-4.29409,1
521,47.4722,-3.69203,1
522,36.3023,-3.29409,1
523,44.6797,-3.99306,1
524,47.4722,-4.29409,1
525,36.3023,-2.80273,0
526,50.2647,-4.29409,1
527,27.9248,-4.29409,1
528,41.8872,-3.81697,1
529,44.6797,-3.21491,0
530,47.4722,-3.69203,1
531,44.6797,-4.29409,1
532,41.8872,-3.69203,1
533,47.4722,-4.29409,1
534,39.0947,-4.29409,1
535,39.0947,-3.33985,1
536,39.0947,-3.33985,1
537,47.4722,-2.78894,0
538,44.6797,-4.29409,1
539,44.6797,-4.29409,1
540,39.0947,-3.99306,1
541,39.0947,-4.29409,1
542,44.6797,-3.99306,1
543,47.4722,-3.08997,0
544,50.2647,-4.29409,1
545,36.3023,-2.61285,0
546,33.5098,-4.29409,1
547,36.3023,-3.69203,1
548,44.6797,-3.51594,1
549,30.7173,-3.69203,1
550,44.6797,-3.14796,0
551,44.6797,-3.69203,1
552,41.8872,-4.29409,1
553,36.3023,-4.29409,1
