Id,log rank,log_GSS
196,2.29447,-3.03882
197,2.29667,-3.03882
198,2.29885,-3.03882
199,2.30103,-3.03882
200,2.3032,-3.03882
201,2.30535,-3.08997
202,2.3075,-3.08997
203,2.30963,-3.08997
204,2.31175,-3.08997
205,2.31387,-3.08997
206,2.31597,-3.08997
207,2.31806,-3.08997
208,2.32015,-3.08997
209,2.32222,-3.08997
210,2.32428,-3.08997
211,2.32634,-3.08997
212,2.32838,-3.08997
213,2.33041,-3.08997
214,2.33244,-3.08997
215,2.33445,-3.08997
216,2.33646,-3.08997
217,2.33846,-3.08997
218,2.34044,-3.08997
219,2.34242,-3.08997
220,2.34439,-3.08997
221,2.34635,-3.08997
222,2.3483,-3.08997
223,2.35025,-3.08997
224,2.35218,-3.08997
225,2.35411,-3.08997
226,2.35603,-3.08997
227,2.35793,-3.08997
228,2.35984,-3.08997
229,2.36173,-3.08997
230,2.36361,-3.08997
231,2.36549,-3.08997
232,2.36736,-3.08997
233,2.36922,-3.08997
234,2.37107,-3.08997
235,2.37291,-3.08997
236,2.37475,-3.08997
237,2.37658,-3.08997
238,2.3784,-3.08997
239,2.38021,-3.08997
240,2.38202,-3.08997
241,2.38382,-3.08997
242,2.38561,-3.08997
243,2.38739,-3.08997
244,2.38917,-3.08997
245,2.39094,-3.08997
246,2.3927,-3.08997
247,2.39445,-3.08997
248,2.3962,-3.08997
249,2.39794,-3.08997
250,2.39967,-3.08997
251,2.4014,-3.08997
252,2.40312,-3.08997
253,2.40483,-3.08997
254,2.40654,-3.08997
255,2.40824,-3.08997
256,2.40993,-3.08997
257,2.41162,-3.08997
258,2.4133,-3.08997
259,2.41497,-3.08997
260,2.41664,-3.08997
261,2.4183,-3.08997
262,2.41996,-3.08997
263,2.4216,-3.08997
264,2.42325,-3.08997
265,2.42488,-3.08997
266,2.42651,-3.08997
267,2.42813,-3.08997
268,2.42975,-3.08997
269,2.43136,-3.08997
270,2.43297,-3.08997
271,2.43457,-3.08997
272,2.43616,-3.08997
273,2.43775,-3.08997
274,2.43933,-3.08997
275,2.44091,-3.08997
276,2.44248,-3.08997
277,2.44404,-3.08997
278,2.4456,-3.08997
279,2.44716,-3.08997
280,2.44871,-3.08997
281,2.45025,-3.08997
282,2.45179,-3.08997
283,2.45332,-3.08997
284,2.45484,-3.08997
285,2.45637,-3.08997
286,2.45788,-3.08997
287,2.45939,-3.08997
288,2.4609,-3.08997
289,2.4624,-3.08997
290,2.46389,-3.08997
291,2.46538,-3.08997
292,2.46687,-3.08997
293,2.46835,-3.08997
294,2.46982,-3.08997
295,2.47129,-3.08997
296,2.47276,-3.08997
297,2.47422,-3.08997
298,2.47567,-3.08997
299,2.47712,-3.08997
300,2.47857,-3.08997
301,2.48001,-3.08997
302,2.48144,-3.08997
303,2.48287,-3.08997
304,2.4843,-3.08997
305,2.48572,-3.08997
306,2.48714,-3.08997
307,2.48855,-3.08997
308,2.48996,-3.08997
309,2.49136,-3.08997
310,2.49276,-3.08997
311,2.49415,-3.08997
312,2.49554,-3.118
313,2.49693,-3.118
314,2.49831,-3.118
315,2.49969,-3.118
316,2.50106,-3.118
317,2.50243,-3.118
318,2.50379,-3.14796
319,2.50515,-3.14796
320,2.50651,-3.14796
321,2.50786,-3.14796
322,2.5092,-3.14796
323,2.51055,-3.14796
324,2.51188,-3.14796
